"","leadid","obsid","ccode","startobs","endobs","year","tenure","tenureyears","tenureend","age","female","LatinAm","Europe","Africa","Asia","MidEast"
"1","A2.5-1","USA-1869",2,"04mar1869","31dec1869",1869,303,1,0,47,0,0,0,0,0,0
"2","A2.5-1","USA-1869",2,"01jan1870","31dec1870",1870,668,2,0,48,0,0,0,0,0,0
"3","A2.5-1","USA-1869",2,"01jan1871","31dec1871",1871,1033,3,0,49,0,0,0,0,0,0
"4","A2.5-1","USA-1869",2,"01jan1872","31dec1872",1872,1399,4,0,50,0,0,0,0,0,0
"5","A2.5-1","USA-1869",2,"01jan1873","31dec1873",1873,1764,5,0,51,0,0,0,0,0,0
"6","A2.5-1","USA-1869",2,"01jan1874","31dec1874",1874,2129,6,0,52,0,0,0,0,0,0
"7","A2.5-1","USA-1869",2,"01jan1875","31dec1875",1875,2494,7,0,53,0,0,0,0,0,0
"8","A2.5-1","USA-1869",2,"01jan1876","31dec1876",1876,2860,8,0,54,0,0,0,0,0,0
"9","A2.5-1","USA-1869",2,"01jan1877","04mar1877",1877,2923,8,1,55,0,0,0,0,0,0
"10","A2.5-4","USA-1877",2,"04mar1877","31dec1877",1877,303,1,0,55,0,0,0,0,0,0
"11","A2.5-4","USA-1877",2,"01jan1878","31dec1878",1878,668,2,0,56,0,0,0,0,0,0
"12","A2.5-4","USA-1877",2,"01jan1879","31dec1879",1879,1033,3,0,57,0,0,0,0,0,0
"13","A2.5-4","USA-1877",2,"01jan1880","31dec1880",1880,1399,4,0,58,0,0,0,0,0,0
"14","A2.5-4","USA-1877",2,"01jan1881","04mar1881",1881,1462,4,1,59,0,0,0,0,0,0
"15","A2.5-7","USA-1881-1",2,"04mar1881","19sep1881",1881,200,1,1,50,0,0,0,0,0,0
"16","A2.5-10","USA-1881-2",2,"19sep1881","31dec1881",1881,104,0,0,52,0,0,0,0,0,0
"17","A2.5-10","USA-1881-2",2,"01jan1882","31dec1882",1882,469,1,0,53,0,0,0,0,0,0
"18","A2.5-10","USA-1881-2",2,"01jan1883","31dec1883",1883,834,2,0,54,0,0,0,0,0,0
"19","A2.5-10","USA-1881-2",2,"01jan1884","31dec1884",1884,1200,3,0,55,0,0,0,0,0,0
"20","A2.5-13","USA-1885",2,"04mar1885","31dec1885",1885,303,1,0,48,0,0,0,0,0,0
"21","A2.5-10","USA-1881-2",2,"01jan1885","04mar1885",1885,1263,3,1,56,0,0,0,0,0,0
"22","A2.5-13","USA-1885",2,"01jan1886","31dec1886",1886,668,2,0,49,0,0,0,0,0,0
"23","A2.5-13","USA-1885",2,"01jan1887","31dec1887",1887,1033,3,0,50,0,0,0,0,0,0
"24","A2.5-13","USA-1885",2,"01jan1888","31dec1888",1888,1399,4,0,51,0,0,0,0,0,0
"25","A2.5-13","USA-1885",2,"01jan1889","04mar1889",1889,1462,4,1,52,0,0,0,0,0,0
"26","A2.5-16","USA-1889",2,"04mar1889","31dec1889",1889,303,1,0,56,0,0,0,0,0,0
"27","A2.5-16","USA-1889",2,"01jan1890","31dec1890",1890,668,2,0,57,0,0,0,0,0,0
"28","A2.5-16","USA-1889",2,"01jan1891","31dec1891",1891,1033,3,0,58,0,0,0,0,0,0
"29","A2.5-16","USA-1889",2,"01jan1892","31dec1892",1892,1399,4,0,59,0,0,0,0,0,0
"30","A2.5-16","USA-1889",2,"01jan1893","04mar1893",1893,1462,4,1,60,0,0,0,0,0,0
"31","A2.5-19","USA-1893",2,"04mar1893","31dec1893",1893,303,1,0,56,0,0,0,0,0,0
"32","A2.5-19","USA-1893",2,"01jan1894","31dec1894",1894,668,2,0,57,0,0,0,0,0,0
"33","A2.5-19","USA-1893",2,"01jan1895","31dec1895",1895,1033,3,0,58,0,0,0,0,0,0
"34","A2.5-19","USA-1893",2,"01jan1896","31dec1896",1896,1399,4,0,59,0,0,0,0,0,0
"35","A2.5-22","USA-1897",2,"04mar1897","31dec1897",1897,303,1,0,54,0,0,0,0,0,0
"36","A2.5-19","USA-1893",2,"01jan1897","04mar1897",1897,1462,4,1,60,0,0,0,0,0,0
"37","A2.5-22","USA-1897",2,"01jan1898","31dec1898",1898,668,2,0,55,0,0,0,0,0,0
"38","A2.5-22","USA-1897",2,"01jan1899","31dec1899",1899,1033,3,0,56,0,0,0,0,0,0
"39","A2.5-22","USA-1897",2,"01jan1900","31dec1900",1900,1398,4,0,57,0,0,0,0,0,0
"40","A2.5-22","USA-1897",2,"01jan1901","14sep1901",1901,1655,5,1,58,0,0,0,0,0,0
"41","A2.5-25","USA-1901",2,"14sep1901","31dec1901",1901,109,0,0,43,0,0,0,0,0,0
"42","A2.5-25","USA-1901",2,"01jan1902","31dec1902",1902,474,1,0,44,0,0,0,0,0,0
"43","A2.5-25","USA-1901",2,"01jan1903","31dec1903",1903,839,2,0,45,0,0,0,0,0,0
"44","A2.5-25","USA-1901",2,"01jan1904","31dec1904",1904,1205,3,0,46,0,0,0,0,0,0
"45","A2.5-25","USA-1901",2,"01jan1905","31dec1905",1905,1570,4,0,47,0,0,0,0,0,0
"46","A2.5-25","USA-1901",2,"01jan1906","31dec1906",1906,1935,5,0,48,0,0,0,0,0,0
"47","A2.5-25","USA-1901",2,"01jan1907","31dec1907",1907,2300,6,0,49,0,0,0,0,0,0
"48","A2.5-25","USA-1901",2,"01jan1908","31dec1908",1908,2666,7,0,50,0,0,0,0,0,0
"49","A2.5-25","USA-1901",2,"01jan1909","04mar1909",1909,2729,7,1,51,0,0,0,0,0,0
"50","A2.5-28","USA-1909",2,"04mar1909","31dec1909",1909,303,1,0,52,0,0,0,0,0,0
"51","A2.5-28","USA-1909",2,"01jan1910","31dec1910",1910,668,2,0,53,0,0,0,0,0,0
"52","A2.5-28","USA-1909",2,"01jan1911","31dec1911",1911,1033,3,0,54,0,0,0,0,0,0
"53","A2.5-28","USA-1909",2,"01jan1912","31dec1912",1912,1399,4,0,55,0,0,0,0,0,0
"54","A2.5-28","USA-1909",2,"01jan1913","04mar1913",1913,1462,4,1,56,0,0,0,0,0,0
"55","A2.5-31","USA-1913",2,"04mar1913","31dec1913",1913,303,1,0,57,0,0,0,0,0,0
"56","A2.5-31","USA-1913",2,"01jan1914","31dec1914",1914,668,2,0,58,0,0,0,0,0,0
"57","A2.5-31","USA-1913",2,"01jan1915","31dec1915",1915,1033,3,0,59,0,0,0,0,0,0
"58","A2.5-31","USA-1913",2,"01jan1916","31dec1916",1916,1399,4,0,60,0,0,0,0,0,0
"59","A2.5-31","USA-1913",2,"01jan1917","31dec1917",1917,1764,5,0,61,0,0,0,0,0,0
"60","A2.5-31","USA-1913",2,"01jan1918","31dec1918",1918,2129,6,0,62,0,0,0,0,0,0
"61","A2.5-31","USA-1913",2,"01jan1919","31dec1919",1919,2494,7,0,63,0,0,0,0,0,0
"62","A2.5-31","USA-1913",2,"01jan1920","31dec1920",1920,2860,8,0,64,0,0,0,0,0,0
"63","A2.5-31","USA-1913",2,"01jan1921","04mar1921",1921,2923,8,1,65,0,0,0,0,0,0
"64","A2.5-34","USA-1921",2,"04mar1921","31dec1921",1921,303,1,0,56,0,0,0,0,0,0
"65","A2.5-34","USA-1921",2,"01jan1922","31dec1922",1922,668,2,0,57,0,0,0,0,0,0
