ccode,year,cabbr,count,latitude,longitude,literacy,refugees,lnRefs,lnGDP,lnTrade,PolityLag
404,1995,,0,12.07581997,-14.64070988,44,15400,9.642123222,6.450583458,3.846106052,
404,1996,,0,12.07581997,-14.64070988,42.5,15400,9.642123222,6.531382084,3.746208668,5
404,1997,GNB,0,12.07581997,-14.64070988,41,16000,9.680343628,6.566633701,4.109231472,5
404,1998,,0,12.07581997,-14.64070988,39.5,6600,8.7948246,6.209522724,3.917737484,5
404,1999,GNB,0,12.07581997,-14.64070988,38,7100,8.867850304,6.256978989,4.214756012,0
404,2000,,0,12.07581997,-14.64070988,40,7600,8.935903549,6.300628662,4.423070431,3
404,2001,GNB,0,12.07581997,-14.64070988,42,7300,8.895629883,6.272813797,4.516991615,5
404,2002,,0,12.07581997,-14.64070988,44,7600,8.935903549,6.168534279,4.408820629,5
404,2003,,0,12.07581997,-14.64070988,46,7600,8.935903549,6.131466866,4.34677887,5
404,2004,,0,12.07581997,-14.64070988,48,7536,8.927446365,6.12229538,4.35884428,-1
404,2005,,0,12.07581997,-14.64070988,50,7616,8.938006401,6.126207829,4.482698441,-1
404,2006,,0,12.07581997,-14.64070988,52,,,6.114068508,4.54817915,6
404,2007,,0,12.07581997,-14.64070988,54,,,6.11129427,4.488785267,6
411,1995,,0,1.636600018,10.47572994,69,,,7.891347408,5.071532249,
411,1996,,0,1.636600018,10.47572994,70,,,8.123163223,5.472247124,-5
411,1997,GNQ,0,1.636600018,10.47572994,71,,,8.636742592,5.41248703,-5
411,1998,,0,1.636600018,10.47572994,72,,,8.810853958,5.6176157,-5
411,1999,GNQ,0,1.636600018,10.47572994,73,,,9.133703232,,-5
411,2000,,0,1.636600018,10.47572994,74,,,9.236445427,5.214457512,-5
411,2001,GNQ,0,1.636600018,10.47572994,75,,,9.697290421,5.264209747,-5
411,2002,,0,1.636600018,10.47572994,76,,,9.860788345,5.014726639,-5
411,2003,,0,1.636600018,10.47572994,77,,,9.960392952,5.150141716,-5
411,2004,,0,1.636600018,10.47572994,78,,,10.21584892,5.050617218,-5
411,2005,,0,1.636600018,10.47572994,79,,,10.2589283,4.972438812,-5
411,2006,,0,1.636600018,10.47572994,80,,,10.17816353,4.974428177,-5
411,2007,,0,1.636600018,10.47572994,81,,,10.27237511,5.00535059,-5
420,1995,,0,13.4575901,-15.29753017,28,6600,8.7948246,6.906839848,4.803715229,
420,1996,,0,13.4575901,-15.29753017,29.5,6900,8.839276314,6.892272949,4.704094887,-7
420,1997,GMB,0,13.4575901,-15.29753017,31,7300,8.895629883,6.903902531,4.551683426,-6
420,1998,,0,13.4575901,-15.29753017,32.5,10300,9.239899635,6.902642727,4.688322067,-5
420,1999,GMB,0,13.4575901,-15.29753017,34,17200,9.752664566,6.929785728,4.593742371,-5
420,2000,,0,13.4575901,-15.29753017,35.5,12000,9.392662048,6.949355125,4.652367592,-5
420,2001,GMB,0,13.4575901,-15.29753017,37,8100,8.999619484,6.972698689,4.346289158,-5
420,2002,,0,13.4575901,-15.29753017,38.5,12100,9.400960922,6.907568455,4.535569668,-5
420,2003,,0,13.4575901,-15.29753017,40,7500,8.922657967,6.943626404,4.558438301,-5
420,2004,,0,13.4575901,-15.29753017,41.5,7343,8.901502609,6.963242531,4.697935104,-5
420,2005,,0,13.4575901,-15.29753017,43,7330,8.899730682,6.982946873,4.702318192,-5
420,2006,,0,13.4575901,-15.29753017,44.5,,,7.017783642,,-5
